id,Date,Grain,Destination,Port,FGIS_Reg,MT,Pounds
432546,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
432547,2/13/20,CORN,CHINA T,INTERIOR,INTERIOR,367,810000
432548,2/13/20,CORN,CHINA T,INTERIOR,INTERIOR,392,864000
432549,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,245,540000
432550,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,490,1080000
432551,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,490,1080000
432552,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,490,1080000
432553,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,490,1080000
432554,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,49,108000
432555,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
432556,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
432557,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,294,648000
432558,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,294,648000
432559,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
432560,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,465,1026000
432561,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,343,756000
432562,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
432563,2/13/20,CORN,CHINA T,INTERIOR,INTERIOR,490,1080000
432564,2/13/20,CORN,CHINA T,INTERIOR,INTERIOR,367,810000
432565,2/13/20,CORN,CHINA T,INTERIOR,INTERIOR,245,540000
432566,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,367,810000
432567,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,367,810000
432568,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,98,216000
432569,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,98,216000
432570,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,49,108000
432571,2/13/20,SORGHUM,CHINA MAIN,N. TEXAS,WEST GULF,47986,105789980
432572,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,343,756000
432573,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,245,540000
432574,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,196,432000
432575,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,220,486000
432576,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,245,540000
432577,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,465,1026000
432578,2/13/20,SOYBEANS,JAPAN,INTERIOR,INTERIOR,24,54000
432579,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,245,540000
432580,2/13/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,220,486000
432581,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,245,540000
432582,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
432583,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
432584,2/13/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,48,105600
432585,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,9979,22000000
432586,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,192,422400
432587,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,96,211200
432588,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,695,1531200
432589,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,599,1320000
432590,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,72,158400
432591,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,96,211200
432592,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,575,1267200
432593,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,239,528000
